INSERT INTO SHIPMENTS (shipmentId, shipmentStatus, shipmentDate, shipmentMethod, shipmentCost, customerId, trackingNumber) VALUES
(770485, 'Info Received', '2024-10-01 22:04:53', 'Freight Shipping', 250, 100000485, 'QEXRJ0522682495'),
(770486, 'Info Received', '2024-10-02 11:41:34', 'Standard Shipping', 300, 100000486, 'TEDQS8421141302'),
(770487, 'Info Received', '2024-10-03 01:18:14', 'Express Shipping', 100, 100000487, 'UFDEF9852564556'),
(770488, 'Delivering', '2024-10-03 14:54:55', 'Freight Shipping', 150, 100000488, 'CJXVF8795261340'),
(770489, 'Info Received', '2024-10-04 04:31:35', 'Standard Shipping', 150, 100000489, 'ZFBXZ0356091855'),
(770490, 'Info Received', '2024-10-04 18:08:15', 'Freight Shipping', 300, 100000490, 'OVRVK0019881799'),
(770491, 'Delivering', '2024-10-05 07:44:56', 'Freight Shipping', 50, 100000491, 'TNSOC5395166713'),
(770492, 'Info Received', '2024-10-05 21:21:36', 'Standard Shipping', 200, 100000492, 'CGEJV8637696193'),
(770493, 'Info Received', '2024-10-06 10:58:17', 'Standard Shipping', 300, 100000493, 'HRJOE0669434294'),
(770494, 'Delivering', '2024-10-07 00:34:57', 'Same-Day Delivery', 100, 100000494, 'XZODB6934289658'),
(770495, 'Delivering', '2024-10-07 14:11:37', 'Express Shipping', 250, 100000495, 'OXZYO8387729021'),
(770496, 'Info Received', '2024-10-08 03:48:18', 'Same-Day Delivery', 200, 100000496, 'HUXOB4128764089'),
(770497, 'Info Received', '2024-10-08 17:24:58', 'Freight Shipping', 250, 100000497, 'WHVDV0573731732'),
(770498, 'Info Received', '2024-10-09 07:01:39', 'Same-Day Delivery', 150, 100000498, 'COPKD1961692168'),
(770499, 'Delivering', '2024-10-09 20:38:19', 'Freight Shipping', 300, 100000499, 'FGGHG1111428946'),
(770500, 'Delivering', '2024-10-10 10:15:00', 'Standard Shipping', 200, 100000500, 'JOSLA4163198298');
